user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
A11;g-rel_q097-2;g-rel;0;False;False;t;0.27207871805757416;174.03367912890872;0.0;0.8579084031375951;12352.769852371233
A11;g-rel_q128-1;g-rel;0;True;True;r;0.27167313704018226;161.46285018034362;0.0;0.7830892388481902;8777.10335342357
A11;g-rel_q076-1;g-rel;0;True;True;r;0.2823178678558995;159.9757799600442;0.0;0.8871194739129172;19624.80749651476
A11;g-rel_q118-1;g-rel;0;True;True;r;0.2647699728344525;160.96696877596486;0.0;1.0;12911.743189015499
A11;g-rel_q134-3;g-rel;0;False;False;t;0.26467542325225324;164.401076497563;0.0;0.8830177608947142;25512.73184577737
A11;g-rel_q116-1;g-rel;0;True;True;r;0.23491719712180753;155.39097334372624;0.0;0.9760558672231388;23989.69108709699
A11;g-rel_q085-2;g-rel;0;False;False;i;0.2623400465723431;160.3194453641041;0.0;0.8616576479502827;16210.540590548222
A11;g-rel_q103-1;g-rel;0;False;False;i;0.2286704770887516;161.1243221819619;0.0;0.8690189857803919;9121.379406342392
A11;g-rel_q088-1;g-rel;0;False;False;t;0.26060868685707833;169.13233772622647;0.0;1.0;17685.48013142312
A11;g-rel_q122-2;g-rel;0;False;False;i;0.2413067714408737;173.33732888863992;0.0;0.7950354979627693;6689.519820088633
A11;g-rel_q075-1;g-rel;0;False;False;i;0.21761113954618838;168.21425257757002;0.0;0.7013523317209095;6343.20603455599
A11;g-rel_q094-2;g-rel;0;False;False;t;0.2710167661823317;158.28001957813186;0.0;0.8751844359692318;17588.107248883898
A12;g-rel_q097-2;g-rel;0;False;False;t;0.2686424018361758;197.33813042747977;0.0;0.6480417628743638;5309.9937803926505
A12;g-rel_q085-2;g-rel;0;False;False;i;0.23310526783913155;186.1435028962342;0.0;0.6546511983784651;2062.1480392606923
A12;g-rel_q088-1;g-rel;0;False;False;t;0.29239512943930335;187.71236427118666;0.0;0.6916919710767802;3135.9670873805844
A12;g-rel_q075-1;g-rel;0;False;False;i;0.2577562677975486;200.34367910921628;0.0;0.5384833640590365;2545.5190484058467
A12;g-rel_q118-1;g-rel;0;True;True;r;0.23910135429764515;210.14286167209687;0.0;0.5204819545084631;1520.1396648729517
A12;g-rel_q103-1;g-rel;0;False;False;i;0.2864973613198442;182.19463368890274;0.0;0.4755067132336553;1666.635480878845
A12;g-rel_q076-1;g-rel;0;True;True;r;0.3069075293826792;187.8188785232899;0.0;0.8304492965592943;3676.6442817138677
A12;g-rel_q122-2;g-rel;0;False;False;i;0.2469806028377382;215.76678268136115;0.0;0.42427722657567046;2795.0869733502595
A12;g-rel_q134-3;g-rel;0;False;True;t;0.2766888461331111;177.6664997025621;0.0;0.7909050357112831;10448.951745692724
A12;g-rel_q128-1;g-rel;0;True;True;r;0.2446375702453671;157.62187576579416;0.0;1.0;5007.271044140252
A12;g-rel_q116-1;g-rel;0;True;True;r;0.27113854556913786;195.82561686725984;0.0;0.559076692734546;1872.6914456452937
A12;g-rel_q094-2;g-rel;0;False;False;t;0.28784623634260786;183.65025375832758;0.0;0.6899190146724091;7338.604263096149
A13;g-rel_q118-1;g-rel;0;True;True;r;0.28359635536588423;170.48290695083455;0.0;0.7643055388336688;8267.306800725384
A13;g-rel_q134-3;g-rel;0;False;True;t;0.28305698009363134;157.92471342361375;0.0;0.9428726573928314;20610.811706443565
A13;g-rel_q094-2;g-rel;0;False;False;t;0.29322820742219;157.82121260364715;0.0;1.0;21977.56391397887
A13;g-rel_q128-1;g-rel;0;True;True;r;0.2393138493285499;184.19243329552535;0.0;1.0;7695.848344413271
A13;g-rel_q122-2;g-rel;0;False;False;i;0.25279886279923475;186.24459743078688;0.0;0.7101163946116922;4408.708238789724
A13;g-rel_q103-1;g-rel;0;False;False;i;0.22347180438142242;184.66960569316132;0.0;0.7142631256655924;8109.083198854635
A13;g-rel_q116-1;g-rel;0;True;True;r;0.294659587565965;165.35012074494577;0.0;0.808569385535023;6734.122544942446
A13;g-rel_q088-1;g-rel;0;False;False;t;0.26523365844417907;158.89230814372988;0.0;1.0;18948.19107886341
A13;g-rel_q076-1;g-rel;0;True;True;r;0.27276343011380444;178.47076421255974;0.0;0.7766775315745228;5496.368126484659
A13;g-rel_q085-2;g-rel;0;False;False;i;0.2920528335404979;176.33310794522316;0.0;0.6468268156449617;11290.649232184447
A13;g-rel_q097-2;g-rel;0;False;False;t;0.263229941205022;180.27765040636132;0.0;0.8077759176305289;11252.174861237912
A13;g-rel_q075-1;g-rel;0;False;False;i;0.27712969357359735;166.27277666531913;0.0;1.0;21314.05531069899
B01;g-rel_q134-3;g-rel;0;False;False;t;0.3138837621757309;160.76976561626475;0.0;1.0;22097.097241382005
B01;g-rel_q094-2;g-rel;0;False;False;t;0.3515350469648896;159.18446748252293;0.0;1.0;19660.20226535772
